,Title,Link,Genre,Author,Description
0,Những Bài Thuốc Dân Gian Hiệu Nghiệm Về Dấm Trứng Gà,https://khosachonline.com/sach/nhung-bai-thuoc-dan-gian-hieu-nghiem-ve-dam-trung-ga,Y Học - Sức Khỏe,Kiều Mai,"Đông y trị bệnh là cuốn sách thuộc tủ sách y học phổ thông giới thiệu với đông đảo bạn đọc những kiến thức về đông dược, các bài thuốc đông y trị bách bệnh, cùng các phương pháp dưỡng sinh chăm sóc sức khỏe, vẻ đẹp theo y học dân gian cổ truyền đơn giản, hiệu quả. Ngoài ra, cuốn sách còn giới thiệu một số phương pháp chẩn trị bằng Đông y của hai danh y huyền thoại: Hải Thượng Lãn Ông và Hoa Đà."
1,Phòng Và Chữa Bệnh Cận Thị,https://khosachonline.com/sach/phong-va-chua-benh-can-thi,Y Học - Sức Khỏe,Hoàng Thái,"Giới thiệu tương đối tỉ mỉ và hệ thống về hệ thống chiết quang của mắt, sự hình thành bệnh cận thị, biểu hiện lâm sàng, chẩn đoán trị liệu, những thói quen và những nguy hại của nó dẫn đến bệnh cận thị và các phương pháp bảo vệ mắt, phòng chống cận thị. Sách có các nội dung sau: Hệ thống chiết quang của mắt gồm những bộ phận nào, Những nguyên nhân nào gây ra cận thị, Bệnh cận thị phát sinh theo quy luật gì,..."
2,Những Phương Thuốc Bí Truyền Của Thần Y Hoa Đà,https://khosachonline.com/sach/nhung-phuong-thuoc-bi-truyen-cua-than-y-hoa-da,Y Học - Sức Khỏe,Tương Quân,"Cuốn sách Những phương thuốc bí truyền của thần y Hoa Đà tập hợp được nhiều phương thuốc chữa các loại bệnh của thần y Hoa Đà: các chứng thương hàn, bệnh nội khoa, ngoại khoa, bệnh đàn bà, bệnh trẻ con, nhãn khoa, bệnh ngoài da, chứng vàng thân thể, chứng sản tiền, sản hậu, bệnh về da mặt, … Đây là những phương thuốc rất công hiệu, được dùng để chữa trị từ xa xưa. Hy vọng cuốn sách này sẽ giúp người đọc tham khảo, tìm ra phương thuốc hay để trị bệnh cho mình và người thân."
3,Bệnh Cao Huyết Áp,https://khosachonline.com/sach/benh-cao-huyet-ap,Y Học - Sức Khỏe,Wang Sung Qing,"Quyển sách Bệnh Cao Huyết Áp trình bày những kiến thức liên quan đến bệnh Cao Huyết Áp - từ nguyên nhân gây bệnh, triệu chứng nhận biết, việc điều trị và cách chăm sóc bệnh - bằng những lời lẽ rõ ràng và dễ hiểu để bạn đọc có cái nhìn khái quát hơn về căn bệnh này.
Cuốn sách này gồm những nội dung chính sau:
Nhận thức chung về bệnh
Tín hiệu bệnh
Nhận biết về bệnh
Chẩn đoán bệnh
Phương pháp trị liệu và chỉ dẫn của bác sĩ
Những sai lầm trong trị bệnh
Triệu chứng và những biến chứng của bệnh
Thực đơn điều dưỡng trong gia đình
Hướng dẫn chữa bệnh
Trắc nghiệm - tri thức về sức khỏe
Trắc nghiệm phòng trị các bệnh thường gặp (bệnh tai biến mạch máu não)"
4,Nắn Bó Xương Gãy Bằng Đông Tây Y Kết Hợp,https://khosachonline.com/sach/nan-bo-xuong-gay-bang-dong-tay-y-ket-hop,Y Học - Sức Khỏe,Nguyễn Hải Ngọc,"Nguyên tắc cấp cứu gãy xương chi chỉ là một trong các bước của nguyên tắc kiểm soát ban đầu các trường hợp chấn thương. Các tổn thương nhìn thấy được vùng đầu mặt và chân tay rất dễ thu hút sự tập trung trong cấp cứu, làm chậm trễ việc cấp cứu các tổn thương đang đe doạ trực tiếp đến tính mạng người bệnh như chấn thương ngực, bụng, cổ, xương chậu... Sách trình bày về nguyên tắc chữa gãy xương; nắm xương gãy; phương pháp nắn xương; nguyên lý bó chặt từng phần và cách vận dụng cụ thể; một số ví dụ về nắn bó xương; rèn luyện công năng; cấp cứu xương gãy; các bài thuốc dùng cho xương..."
5,Bệnh Phong Thấp Và Bệnh Gút,https://khosachonline.com/sach/benh-phong-thap-va-benh-gut,Y Học - Sức Khỏe,He Jian - De Hong,"Bệnh Gút - Gout - Thống Phong là một bệnh lý được biết đến lâu đời nhất của loài người - đã hơn 2000 năm. Bênh Gút thường do các cơn tái phát của viêm khớp cấp tính, biểu hiện thông thường nhất là sưng tấy, đỏ ngón chân cái (50% trường hợp). Bênh gút nguyên nhân chủ yếu là do sự tích tụ Axit Uric ở các khớp, gân, cơ và xunh quanh các mô. Sách có các nội dung sau: Bệnh phong thấp: Nhận biết bệnh, Những biểu hiện của bệnh, Những điều cần biết trong chữa bệnh, Chuẩn đoán lâm sàng, Quy tắc điều trị. Bệnh gút: Nhận thức về bệnh, Những điều cần biết trong chữa bệnh, Nhận biết triệu chứng, Chỉ dẫn chuẩn đoán chính xác của bác sĩ, ..."
6,Chữa Bệnh Rối Loạn Tiền Đình Bằng Phương Pháp Đông Y Châm Cứu,https://khosachonline.com/sach/chua-benh-roi-loan-tien-dinh-bang-phuong-phap-dong-y-cham-cuu,Y Học - Sức Khỏe,Hoàng Văn Vinh,"120 Trang Chứng rối loạn tiền đình, đông y gọi là Huyễn vựng là một chứng chứ không phải là một tên bệnh. Chúng Huyễn Vựng là đầu quay cuồng chuếnh choáng, mắt hoa đen xây sẩm- chứng này đời xưa đã chữa từ lâu, song nhiều người có nhiều lập luận khác nhau, người cho rằng hoả, người cho vì đờm, người cho vì hư....Nay tác giả đem kinh nghiệm bản thân chữa trị, quy nạp cho có hệ thống, những điều nên theo, những thuyết nên bỏ, giúp cho người mới bước vào đời làm thuốc có phương hướng sẵn sàng đỡ phải mò kim đáy bể."
7,Bệnh Thấp Khớp Và Chứng Viêm Khớp,https://khosachonline.com/sach/benh-thap-khop-va-chung-viem-khop,Y Học - Sức Khỏe,Bích Hồng,"Sức khỏe là một thứ vốn quý mà chúng ta cần phải trang bị cho mình một số kiến thức về y khoa để tự mình có thể chăm sóc bản thân và giúp cơ thể đẩy lùi bệnh tật. Nhằm đáp ứng nhu cầu của quý bạn đọc, quyển sách Bệnh Thấp Khớp Và Chứng Viêm Khớp - Chế Độ Ăn Và Lời Khuyên Giúp Làm Dịu Cơn Đau. Sách có nội dung rất phong phú, sẽ cung cấp cho bạn những kiến thức y khoa cần thiết trong cuộc sống hàng ngày. Sách trình bày chi tiết về các khớp xương và hệ thống cơ xương, viêm khớp và thấp khớp..."
8,Từ Đau Lưng Đến Thấp Khớp,https://khosachonline.com/sach/tu-dau-lung-den-thap-khop,Y Học - Sức Khỏe,Philippe Stora,"Cuốn sách Từ Đau Lưng Đến Thấp Khớp do bác sĩ Philippe Stora nhằm nêu ra những nguyên nhân về các triệu chứng thấp khớp và phương pháp điều trị của nhiều loại bệnh. Hiện tượng bệnh đau lưng và thấp khớp rất phổ biến ảnh hưởng nhiều đến mọi người trên thế giới và nhiều hay ít tùy vào mức độ khác nhau. Bệnh thoái khớp theo y học gọi là quá trình lảo hóa là một chứng chủ yếu người già, viêm khớp xảy ra ở tất cả mọi lứa tuổi bao gồm trẻ em, người trưởng thành, phụ nữ...Bênh viêm gân đau lưng thường gặp ở người trẻ tuổi, hoạt động nhiều nhất là đối với thanh niên, vì vậy không ai tránh khỏi chứng đau về thấp khớp này. Chính vì thế Bác sĩ đưa ra hàng loạt nguyên nhân gây ra bệnh và những câu hỏi liên quan trực tiếp đến bệnh đồng thời là hàng loạt giải đáp của các câu hỏi và cách chữa trị. Cuốn sách này cung cấp cho các bạn biết thêm nhiều thông tin xác định được những bệnh tật của chính bạn đồng thời biết cách tự chăm sóc và cũng là một bước hữu ích hướng đến lành bệnh."
9,Viêm Mũi Dị Ứng,https://khosachonline.com/sach/viem-mui-di-ung,Y Học - Sức Khỏe,Peter B. Boggs,"Cuốn sách Viêm mũi dị ứng này đã đề cập đến những vấn đề có liên quan đến giải phẩu, sinh lý của các bộ phận như mũi, xoang, tai, hệ thống đường hô hấp một cách đơn giản, xúc tích, với những hình vẽ minh họa sáng sủa. Xác định và miêu tả cắt nghĩa được các điều kiện, các triệu chứng, việc điều trị những trường hợp bị dị ứng. Cuốn sách cung cấp một tài liệu tham khảo thêm về chẩn đoán, điều trị cho các bác sĩ thực hành và cho những người muốn tìm hiểu để có được những thông tin và hiểu sâu hơn về bệnh dị ứng mũi. Được cung cấp đầy đủ thông tin là một bước khởi đầu để chăm sóc cho mũi của bạn một cách tốt nhất. Hãy sử dụng cuốn sách này và tham khảo nó mỗi khi bạn có vấn đề gì thắc mắc cần được giải đáp."
